location,year,relative_poverty,net_wealth
All Denmark,2019,4.4,611289
Capital municipalities,2019,4.7,614787
Metropolitan municipalities,2019,5.2,357030
Provincial municipalities,2019,4.1,637419
Commuter municipalities,2019,3.5,752423
Rural municipalities,2019,4.3,619998
Copenhagen,2019,5.9,364425
All Denmark,2022,3.7,701429
Capital municipalities,2022,4.0,674498
Metropolitan municipalities,2022,4.6,409333
Provincial municipalities,2022,3.5,738875
Commuter municipalities,2022,2.9,880420
Rural municipalities,2022,3.5,724881
Copenhagen,2022,4.8,400015
